time,adxl_acceleration_x,adxl_acceleration_y,adxl_acceleration_z,mpl_altitude,mpu_acceleration_x,mpu_acceleration_y,mpu_acceleration_z,mpu_gyroscope_x,mpu_gyroscope_y,mpu_gyroscope_z,mpu_magnetometer_x,mpu_magnetometer_y,mpu_magnetometer_z
1605249392.0743,-3.6873,-31.5382,40.1288,-0.9375,-0.0750,-0.2760,0.6630,0.0000,0.0000,0.0000,-6.7140,-9.7050,0.6100
1605249392.0942,-3.6873,-31.5774,40.1288,0.0000,-0.0740,-0.2750,0.6620,0.0000,0.0000,0.0000,-6.7750,-9.7660,0.6100
1605249392.1200,-3.6873,-31.6559,40.1288,1.1875,-0.0760,-0.2730,0.6600,0.0000,0.0000,0.0000,-6.7750,-9.8880,0.6100
1605249392.1457,-3.6481,-31.4990,40.1288,1.2500,-0.0750,-0.2770,0.6580,0.0000,0.0000,0.0000,-6.8360,-9.8880,0.6100
1605249392.1819,-3.7658,-31.6951,40.1288,0.0625,-0.0750,-0.2740,0.6620,28.9730,-34.5540,-12.1870,-6.7750,-9.7660,0.6100
1605249392.2167,-3.7265,-31.6166,40.1288,-2.2500,-0.0730,-0.2740,0.6590,0.0000,0.0000,0.0000,-6.7140,-9.8270,0.5490
1605249392.2575,-3.7658,-31.5774,40.1288,2.3750,-0.0740,-0.2730,0.6610,0.0000,0.0000,0.0000,-6.8360,-9.7660,0.6100
1605249392.2986,-3.6481,-31.5774,40.1288,-0.0625,-0.0750,-0.2760,0.6610,30.0210,-34.5540,-12.8640,-6.8970,-9.8270,0.5490
1605249392.3280,-3.6481,-31.5382,40.1288,1.6250,-0.0750,-0.2750,0.6600,0.0000,0.0000,0.0000,-6.8970,-9.7660,0.6100
1605249392.3755,-3.6481,-31.4990,40.1288,-1.0625,-0.0760,-0.2750,0.6590,0.0000,0.0000,0.0000,-6.7750,-9.8880,0.6710
1605249392.4172,-3.6873,-31.5382,40.1288,-0.5625,-0.0750,-0.2730,0.6610,28.4500,-34.7300,-13.3720,-6.7750,-9.7050,0.6100
1605249392.4470,-3.8442,-31.6559,40.1288,-0.5625,-0.0720,-0.2740,0.6620,0.0000,0.0000,0.0000,-6.8360,-9.8270,0.5490
1605249392.4913,-3.8050,-31.6166,40.1288,-0.1875,-0.0770,-0.2760,0.6590,0.0000,0.0000,0.0000,-6.8360,-9.7660,0.5490
1605249392.5308,-3.7265,-31.5382,40.1288,0.6250,-0.0730,-0.2720,0.6590,0.0000,0.0000,0.0000,-6.8970,-9.8270,0.5490
1605249392.5647,-3.6088,-31.5382,40.1288,0.1875,-0.0740,-0.2720,0.6590,29.3220,-35.6120,-12.1870,-6.8360,-9.7660,0.6710
1605249392.5980,-3.7265,-31.7343,40.1288,0.9375,-0.0740,-0.2710,0.6600,0.0000,0.0000,0.0000,-6.7750,-9.8270,0.6100
1605249392.6466,-3.4519,-31.4205,40.1288,-1.8125,-0.0740,-0.2730,0.6580,0.0000,0.0000,0.0000,-6.8970,-9.8880,0.6710
1605249392.6781,-3.4912,-31.4990,40.1288,0.6875,-0.0760,-0.2730,0.6630,28.9730,-35.6120,-13.2030,-6.8970,-9.8270,0.6100
1605249392.7125,-3.6481,-31.4990,40.1288,1.0000,-0.0750,-0.2730,0.6600,0.0000,0.0000,0.0000,-6.8360,-9.7660,0.7320
1605249392.7374,-3.8442,-31.5382,40.1288,0.1250,-0.0740,-0.2730,0.6620,0.0000,0.0000,0.0000,-6.8360,-9.8270,0.6710
1605249392.7656,-3.8050,-31.6559,40.1288,-2.3125,-0.0770,-0.2730,0.6590,0.0000,0.0000,0.0000,-6.8970,-9.8880,0.6100
1605249392.7951,-4.0011,-31.9697,40.1288,-0.5000,-0.0750,-0.2770,0.6600,29.6720,-36.3170,-13.8800,-6.8970,-9.8270,0.6710
1605249392.8167,-3.5696,-31.6559,40.1288,-2.6875,-0.0760,-0.2730,0.6620,0.0000,0.0000,0.0000,-6.9580,-9.8880,0.6100
1605249392.8491,-3.6088,-31.6559,40.1288,1.1250,-0.0760,-0.2750,0.6630,0.0000,0.0000,0.0000,-6.8360,-9.7660,0.6100
1605249392.8798,-3.8050,-31.6166,40.1288,-1.6875,-0.0750,-0.2730,0.6610,0.0000,0.0000,0.0000,-6.8970,-9.7660,0.6100
1605249392.9337,-3.6481,-31.5774,40.1288,-2.6250,-0.0770,-0.2740,0.6590,29.6720,-34.9060,-12.5260,-6.7750,-9.7660,0.6710
1605249392.9570,-3.5696,-31.6166,40.1288,-0.6875,-0.0750,-0.2740,0.6590,0.0000,0.0000,0.0000,-6.7140,-9.8880,0.6100
1605249392.9880,-3.7265,-31.4597,40.1288,-1.0000,-0.0760,-0.2750,0.6600,0.0000,0.0000,0.0000,-6.8970,-9.7660,0.6100
1605249393.0162,-3.6481,-31.5774,40.1288,3.8751,-0.0740,-0.2750,0.6590,0.0000,0.0000,0.0000,-6.8360,-9.8270,0.7320
1605249393.0361,-3.7265,-31.8128,40.1288,-1.5625,-0.0730,-0.2740,0.6580,0.0000,0.0000,0.0000,-6.8970,-9.7660,0.7320
1605249393.0550,-3.9227,-31.5382,40.1288,-0.1875,-0.0760,-0.2730,0.6600,28.6240,-35.9640,-12.1870,-6.7750,-9.8270,0.6100
1605249393.0786,-3.7265,-31.5774,40.1288,1.5625,-0.0730,-0.2740,0.6610,0.0000,0.0000,0.0000,-6.8360,-9.8270,0.6100
